JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457650.40606,14.980,0.039,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.323,Z,-7.069,-6.427,,PX AND,AAVSO,STD,,,,
2457650.40669,14.990,0.039,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.320,Z,-7.081,-6.410,,PX AND,AAVSO,STD,,,,
2457650.40733,14.944,0.039,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.317,Z,-7.056,-6.405,,PX AND,AAVSO,STD,,,,
2457650.40797,14.966,0.039,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.313,Z,-7.061,-6.437,,PX AND,AAVSO,STD,,,,
2457650.40860,14.999,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.310,Z,-7.078,-6.422,,PX AND,AAVSO,STD,,,,
2457650.40924,14.952,0.038,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.307,Z,-7.075,-6.411,,PX AND,AAVSO,STD,,,,
2457650.40987,15.024,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.303,Z,-7.047,-6.427,,PX AND,AAVSO,STD,,,,
2457650.41051,15.055,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.300,Z,-7.095,-6.436,,PX AND,AAVSO,STD,,,,
2457650.41114,15.023,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.297,Z,-7.093,-6.406,,PX AND,AAVSO,STD,,,,
2457650.41178,14.999,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.294,Z,-7.073,-6.376,,PX AND,AAVSO,STD,,,,
2457650.41241,15.054,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.290,Z,-7.085,-6.417,,PX AND,AAVSO,STD,,,,
2457650.41305,15.001,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.287,Z,-7.065,-6.399,,PX AND,AAVSO,STD,,,,
2457650.41368,15.107,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.284,Z,-7.082,-6.393,,PX AND,AAVSO,STD,,,,
2457650.41432,15.039,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.281,Z,-7.061,-6.381,,PX AND,AAVSO,STD,,,,
2457650.41495,15.144,0.045,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.278,Z,-7.072,-6.426,,PX AND,AAVSO,STD,,,,
2457650.41558,15.119,0.044,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.275,Z,-7.068,-6.395,,PX AND,AAVSO,STD,,,,
2457650.41622,15.026,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.272,Z,-7.076,-6.416,,PX AND,AAVSO,STD,,,,
