,time
65945,2548.454776372358
65946,2548.4561652932257
65947,2548.4575542140924
65948,2548.458943134495
65949,2548.4603320553624
65950,2548.4617209762296
65951,2548.463109897097
65952,2548.464498817965
65953,2548.4658877383663
65954,2548.4672766592334
65955,2548.468665580101
65956,2548.4700545009696
65957,2548.4714434213715
65958,2548.4728323422387
65959,2548.4742212631063
65960,2548.4756101839744
65961,2548.4769991043754
65962,2548.4783880252435
65963,2548.479776946111
65964,2548.4811658665126
65965,2548.4825547873793
65966,2548.4839437077817
65967,2548.4853326286498
65968,2548.4867215495165
65969,2548.4881104699184
65970,2548.489499390786
65971,2548.490888311188
65972,2548.4922772320547
65973,2548.4936661529223
65974,2548.4950550733242
65975,2548.496443994192
65976,2548.497832914594
65977,2548.4992218354623
65978,2548.5006107558643
65979,2548.501999676731
65980,2548.5033885971334
65981,2548.5047775180014
65982,2548.5061664384025
65983,2548.5075553588035
65984,2548.5089442796716
65985,2548.510333200074
65986,2548.5117221209407
65987,2548.5131110413427
65988,2548.5144999617446
65989,2548.515888882612
65990,2548.5172778030133
65991,2548.5186667238813
65992,2548.5200556442833
65993,2548.5214445646848
65994,2548.5228334855515
65995,2548.524222405954
65996,2548.525611326356
65997,2548.527000246758
65998,2548.5283891676263
65999,2548.5297780880287
66000,2548.5311670084297
66001,2548.5325559288312
66002,2548.533944849699
66003,2548.5353337701013
66004,2548.5367226905023
66005,2548.5381116109043
66006,2548.539500531306
66007,2548.540889452174
66008,2548.542278372575
66009,2548.5436672929773
66010,2548.5450562133797
66011,2548.5464451337807
66012,2548.5478340541817
66013,2548.549222974584
66014,2548.550611895452
66015,2548.5520008158533
66016,2548.553389736255
66017,2548.554778656657
66018,2548.5561675770596
66019,2548.557556497462
66020,2548.558945417864
66021,2548.560334338266
66022,2548.561723258667
66023,2548.563112179069
66024,2548.564501099471
66025,2548.5658900198728
66026,2548.567278940274
66027,2548.568667860676
66028,2548.5700567810786
66029,2548.5714457014797
66030,2548.572834621881
66031,2548.574223542283
66032,2548.57561246222
66033,2548.577001382621
66034,2548.5783903030233
66035,2548.5797792234252
66036,2548.5811681438267
66037,2548.582557064228
66038,2548.5839459846306
66039,2548.585334904568
66040,2548.586723824969
66041,2548.588112745371
66042,2548.589501665773
66043,2548.5908905861747
66044,2548.5922795061106
66045,2548.5936684265125
66046,2548.595057346915
66047,2548.596446267316
66048,2548.5978351872523
66049,2548.599224107654
66050,2548.600613028056
66051,2548.6020019479915
66052,2548.6033908683935
66053,2548.6047797887954
66054,2548.6061687087317
66055,2548.6075576291328
66056,2548.608946549535
66057,2548.610335469472
66058,2548.611724389873
66059,2548.6131133098093
66060,2548.614502230212
66061,2548.615891150614
66062,2548.6172800705504
66063,2548.6186689909523
66064,2548.6200579108886
66065,2548.6214468312896
66066,2548.622835751226
66067,2548.624224671628
66068,2548.625613591564
66069,2548.627002511965
66070,2548.6283914319015
66071,2548.6297803523034
66072,2548.6311692722397
66073,2548.632558192641
66074,2548.6339471125775
66075,2548.63533603298
66076,2548.6367249529153
66077,2548.638113872851
66078,2548.639502793253
66079,2548.64089171319
66080,2548.642280633126
66081,2548.643669553529
66082,2548.6450584734653
66083,2548.6464473934006
66084,2548.6478363138026
66085,2548.649225233739
66086,2548.650614153675
