E,C,O,O-C
-4410,1707.8504873766676,1707.8490830898413,-0.0014042868263004493
-4409,1708.060424582305,1708.0593603576272,-0.0010642246777479158
-4408,1708.2703617879422,1708.2700457024919,-0.0003160854503221344
-4407,1708.4802989935797,1708.480675262096,0.0003762685162200796
-4406,1708.690236199217,1708.6907249894896,0.0004887902725840831
-4405,1708.9001734048543,1708.9007364535305,0.0005630486762129294
-4404,1709.1101106104916,1709.110131311372,2.0700880440926994e-05
-4403,1709.3200478161289,1709.3199514820744,-9.633405443310039e-05
-4402,1709.5299850217662,1709.5295252049946,-0.0004598167715812451
-4401,1709.7399222274034,1709.7388143030964,-0.0011079243070071243
-4400,1709.949859433041,1709.948936964254,-0.0009224687869391346
-4399,1710.1597966386782,1710.1588604239917,-0.0009362146865896648
-4392,1711.6293570781395,1711.6273973130649,-0.001959765074616371
-4391,1711.8392942837768,1711.8369625275873,-0.0023317561895055405
-4390,1712.0492314894143,1712.0475244311351,-0.0017070582791802735
-4389,1712.2591686950516,1712.257985592162,-0.0011831028896267526
-4388,1712.469105900689,1712.4692126881687,0.00010678747958081658
-4387,1712.6790431063264,1712.6802269408724,0.0011838345460546407
-4386,1712.8889803119637,1712.8889839842934,3.67232973985665e-06
-4385,1713.098917517601,1713.0999197394187,0.0010022218177709874
-4384,1713.3088547232383,1713.3086357274155,-0.0002189958227063471
-4383,1713.5187919288755,1713.5185771435754,-0.00021478530015883734
-4382,1713.7287291345128,1713.7276987032023,-0.001030431310482527
-4381,1713.9386663401503,1713.937322967813,-0.001343372337260007
-4380,1714.1486035457876,1714.1470586563166,-0.0015448894710061722
-4379,1714.3585407514252,1714.3572625547895,-0.0012781966356669727
-4378,1714.5684779570624,1714.5677958053002,-0.0006821517622483952
-4377,1714.7784151626997,1714.7773396963723,-0.00107546632739286
-4376,1714.988352368337,1714.9869725306073,-0.0013798377297007391
-4375,1715.1982895739743,1715.1969898625523,-0.0012997114220070216
-4374,1715.4082267796116,1715.4068814625675,-0.001345317044069816
-4373,1715.6181639852489,1715.615840434149,-0.002323551099834731
-4372,1715.8281011908862,1715.8260384678488,-0.002062723037397518
-4371,1716.0380383965237,1716.0358101903676,-0.002228206156132728
-4370,1716.247975602161,1716.2456168882175,-0.0023587139435221616
-4369,1716.4579128077985,1716.4560182841872,-0.0018945236113268038
-4368,1716.6678500134358,1716.6665149670935,-0.0013350463423194014
-4367,1716.877787219073,1716.8771984107548,-0.0005888083182981063
-4366,1717.0877244247104,1717.0876895321717,-3.489253867883235e-05
-4365,1717.2976616303476,1717.2981825430252,0.00052091267752985
-4364,1717.507598835985,1717.5084086557895,0.0008098198045445315
-4363,1717.7175360416222,1717.7175908584031,5.481678090291098e-05
-4362,1717.9274732472597,1717.9272782992684,-0.00019494799130370666
-4361,1718.137410452897,1718.1371839496837,-0.00022650321329820144
